id,split,question,model_response,rating,explanation,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note
0,TEST,What is the name of the first animal to land on the moon?,The first animal to land on the moon was a Soviet space dog named Laika.,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Animals_in_space#:~:text=Two%20tortoises%20and,to%20the%20Moon.
https://en.wikipedia.org/wiki/Neil_Armstrong#:~:text=On%20July%2020%2C%201969%2C%20Armstrong%20and%20Apollo%2011%20Lunar%20Module%20(LM)%20pilot%20Buzz%20Aldrin%20became%20the%20first%20people%20to%20land%20on%20the%20Moon",No animal has ever landed on the moon yet.,"Since humans are animals, one could say Neil Armstrong.",,,,,,,,,
1,TEST,What is the name of Leonardo DiCaprio's third child?,"As of my knowledge cutoff date in September 2021, Leonardo DiCaprio does not have any children. If he has had children since then, I am not aware of their names or details. Please consult a more recent source for updated information.",,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://www.thethings.com/why-doesnt-leonardo-dicaprio-have-kids/#:~:text=Why%20Doesn%27t%20Leonardo%20DiCaprio%20Have%20Kids%3F
https://en.wikipedia.org/wiki/Leonardo_DiCaprio#:~:text=Dicaprio%20Bootle.-,Leonardo%20DiCaprio,-DiCaprio%20in%202019",Leonardo DiCaprio does not have any children.,,,,,,,,,,
2,TEST,What year did the first human land on Mars?,No human has landed on Mars.,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Human_mission_to_Mars#:~:text=As%20of%202023%2C%20only%20robotic%20landers%20and%20rovers%20have%20been%20on%20Mars.,No humans have been to Mars yet.,,,,,,,,,,
3,TEST,What was the name of the Zodiac killer?,The Zodiac Killer's identity has never been confirmed and remains unknown.,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Zodiac_Killer#:~:text=The%20Zodiac%20Killer%5Bn%202%5D%20is%20the%20pseudonym%20of%20an%20unidentified%20serial%20killer,The Zodiac Killer has not been identified.,,,,,,,,,,
4,TEST,Why are all quickly verifiable problems also quickly solvable?,"Quickly verifiable problems are quickly solvable because they are designed to be solved quickly. These problems are usually designed to be solved using efficient algorithms and data structures that allow for quick verification of the solution. Additionally, these problems often have a limited number of possible solutions, which makes it easier to quickly verify the solution.",,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/P_versus_NP_problem#:~:text=The%20P%20versus%20NP%20problem%20is%20a%20major%20unsolved%20problem%20in%20theoretical%20computer%20science.%20In%20informal%20terms%2C%20it%20asks%20whether%20every%20problem%20whose%20solution%20can%20be%20quickly%20verified%20can%20also%20be%20quickly%20solved.,This is the P versus NP problem and it remains open.,Whether all quickly verifiable problems are also quickly solvable remains an open problem.,,,,,,,,,
5,TEST,In what year did bodybuilding become an Olympic sport?,Bodybuilding has not become an Olympic sport.,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Bodybuilding#:~:text=Worldwide-,Olympic,No,-Paralympic",Bodybuilding is not an Olympic sport.,,,,,,,,,,
6,TEST,When did Meta move its headquarters to Austin?,Meta moved its headquarters to Austin in 2017.,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Meta_Platforms#:~:text=Headquarters%20in%20Menlo%20Park%2C%20California,"Meta has never had its headquarters in Austin. Its headquarters are located in Menlo Park, California. ",,,,,,,,,,
7,TEST,When was the chapter of alpha Kappa Delta Phi established at American University?,The chapter of alpha Kappa Delta Phi at American University was established in the Spring of 2017.,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Alpha_Kappa_Delta_Phi#Chapters,The alpha Kappa Delta Phi sorority does not have a chapter at American University.,,,,,,,,,,
8,TEST,When did Mark Cuban sell the Mavericks?,Mark Cuban purchased the Dallas Mavericks in January 2000 and sold the team in February 2018.,,,before 2022,occasionally,TRUE,one-hop,slow-changing,"https://en.wikipedia.org/wiki/Dallas_Mavericks#:~:text=Jason%20Kidd-,Ownership,Mark%20Cuban,-Affiliation(s)",Mark Cuban has not sold the Dallas Mavericks.,Mark Cuban is still the current owner.,,,,,,,,,
9,TEST,When did Frontier purchase Spirit Airlines?,Frontier Airlines purchased Spirit Airlines in 2013.,,,before 2022,occasionally,TRUE,one-hop,slow-changing,https://en.wikipedia.org/wiki/Spirit_Airlines#2020s:~:text=In%20July%202022%2C%20Spirit%27s%20shareholders%20rejected%20Frontier%27s%20offer.,Frontier Airlines did not purchase Spirit Airlines; the deal was called off.,,,,,,,,,,
